comunidad,anio,salario_medio
Andalucía,2008,19848.486666666668
Andalucía,2009,20728.806666666667
Andalucía,2010,20783.216666666667
Andalucía,2011,21185.13666666667
Andalucía,2012,20770.716666666667
Andalucía,2013,20679.193333333333
Andalucía,2014,20652.583333333332
Andalucía,2015,21307.396666666667
Andalucía,2016,21157.533333333333
Andalucía,2017,21289.03
Andalucía,2018,21730.24
Andalucía,2019,21993.39333333333
Andalucía,2020,22209.063333333335
Andalucía,2021,23015.85666666667
Andalucía,2022,24004.433333333334
Andalucía,2023,24950.653333333332
Aragón,2008,21236.763333333332
Aragón,2009,21927.8
Aragón,2010,22141.076666666664
Aragón,2011,22141.196666666667
Aragón,2012,21970.78
Aragón,2013,21961.789999999997
Aragón,2014,21993.01
Aragón,2015,22277.63666666667
Aragón,2016,22113.960000000003
Aragón,2017,22865.206666666665
Aragón,2018,23415.556666666667
Aragón,2019,23443.35666666667
Aragón,2020,23994.793333333335
Aragón,2021,24894.846666666668
Aragón,2022,25980.463333333333
Aragón,2023,26779.016666666666
"Asturias, Principado de",2008,21521.343333333334
"Asturias, Principado de",2009,22354.48
"Asturias, Principado de",2010,22066.103333333333
"Asturias, Principado de",2011,22118.153333333332
"Asturias, Principado de",2012,21608.496666666666
"Asturias, Principado de",2013,21983.456666666665
"Asturias, Principado de",2014,21922.66
"Asturias, Principado de",2015,22755.36
"Asturias, Principado de",2016,23061.539999999997
"Asturias, Principado de",2017,23628.38333333333
"Asturias, Principado de",2018,23857.486666666664
"Asturias, Principado de",2019,24882.073333333334
"Asturias, Principado de",2020,24594.686666666665
"Asturias, Principado de",2021,25085.02333333333
"Asturias, Principado de",2022,26704.03
"Asturias, Principado de",2023,27919.646666666667
"Balears, Illes",2008,20267.2
"Balears, Illes",2009,21019.596666666668
"Balears, Illes",2010,21546.27666666667
"Balears, Illes",2011,21305.73
"Balears, Illes",2012,20947.27
"Balears, Illes",2013,20786.48
"Balears, Illes",2014,21367.006666666668
"Balears, Illes",2015,21441.35
"Balears, Illes",2016,21489.263333333332
"Balears, Illes",2017,22013.49
"Balears, Illes",2018,22774.73
"Balears, Illes",2019,23290.303333333333
"Balears, Illes",2020,23859.726666666666
"Balears, Illes",2021,24126.0
"Balears, Illes",2022,27118.660000000003
"Balears, Illes",2023,27517.36666666667
Canarias,2008,18371.923333333336
Canarias,2009,18854.643333333337
Canarias,2010,19301.43
Canarias,2011,19477.586666666666
Canarias,2012,19288.726666666666
Canarias,2013,19155.406666666666
Canarias,2014,19426.483333333334
Canarias,2015,19824.36333333333
Canarias,2016,19703.303333333333
Canarias,2017,20131.573333333334
Canarias,2018,20716.039999999997
Canarias,2019,20828.216666666664
Canarias,2020,21596.77
Canarias,2021,22421.52
Canarias,2022,23086.86666666667
Canarias,2023,24025.690000000002
Cantabria,2008,20125.846666666668
Cantabria,2009,20671.170000000002
Cantabria,2010,20989.63
Cantabria,2011,20777.38666666667
Cantabria,2012,20091.133333333335
Cantabria,2013,19939.686666666665
Cantabria,2014,21184.53
Cantabria,2015,21690.81
Cantabria,2016,21829.97
Cantabria,2017,22217.513333333336
Cantabria,2018,22511.283333333336
Cantabria,2019,23247.703333333335
Cantabria,2020,23432.02666666667
Cantabria,2021,24412.47
Cantabria,2022,25225.36
Cantabria,2023,26480.45
Castilla - La Mancha,2008,19480.42
Castilla - La Mancha,2009,19973.106666666667
Castilla - La Mancha,2010,20189.616666666665
Castilla - La Mancha,2011,20479.47333333333
Castilla - La Mancha,2012,20291.37
Castilla - La Mancha,2013,20475.893333333333
Castilla - La Mancha,2014,20507.083333333332
Castilla - La Mancha,2015,20511.22
Castilla - La Mancha,2016,20636.996666666666
Castilla - La Mancha,2017,20840.553333333333
Castilla - La Mancha,2018,21601.783333333333
Castilla - La Mancha,2019,21780.89
Castilla - La Mancha,2020,22455.289999999997
Castilla - La Mancha,2021,23095.486666666668
Castilla - La Mancha,2022,23625.86333333333
Castilla - La Mancha,2023,24753.35666666667
Castilla y León,2008,19969.683333333334
Castilla y León,2009,20801.156666666666
Castilla y León,2010,20761.806666666667
Castilla y León,2011,20901.953333333335
Castilla y León,2012,20531.676666666666
Castilla y León,2013,20416.323333333334
Castilla y León,2014,20370.836666666666
Castilla y León,2015,21318.493333333332
Castilla y León,2016,21553.213333333333
Castilla y León,2017,21808.87
Castilla y León,2018,21935.033333333336
Castilla y León,2019,22047.11333333333
Castilla y León,2020,22937.899999999998
Castilla y León,2021,23541.070000000003
Castilla y León,2022,24169.413333333334
Castilla y León,2023,25230.60666666667
Cataluña,2008,23219.303333333333
Cataluña,2009,23739.916666666668
Cataluña,2010,24364.11666666667
Cataluña,2011,24441.623333333333
Cataluña,2012,24401.286666666667
Cataluña,2013,24226.193333333333
Cataluña,2014,23899.92
Cataluña,2015,24260.73
Cataluña,2016,24379.246666666662
Cataluña,2017,25101.743333333336
Cataluña,2018,25494.323333333334
Cataluña,2019,25973.933333333334
Cataluña,2020,27066.806666666667
Cataluña,2021,28124.543333333335
Cataluña,2022,28770.666666666668
Cataluña,2023,29980.399999999998
Comunitat Valenciana,2008,19587.483333333334
Comunitat Valenciana,2009,20289.383333333335
Comunitat Valenciana,2010,20605.18
Comunitat Valenciana,2011,21180.233333333334
Comunitat Valenciana,2012,21127.943333333333
Comunitat Valenciana,2013,20815.926666666666
Comunitat Valenciana,2014,20543.649999999998
Comunitat Valenciana,2015,20888.643333333333
Comunitat Valenciana,2016,21063.503333333334
Comunitat Valenciana,2017,21251.313333333335
Comunitat Valenciana,2018,21964.61333333333
Comunitat Valenciana,2019,21953.256666666668
Comunitat Valenciana,2020,22753.823333333334
Comunitat Valenciana,2021,23344.55
Comunitat Valenciana,2022,24443.179999999997
Comunitat Valenciana,2023,25590.47
Extremadura,2008,18092.903333333335
Extremadura,2009,18952.45
Extremadura,2010,19381.476666666666
Extremadura,2011,19752.86
Extremadura,2012,19569.516666666666
Extremadura,2013,19071.72333333333
Extremadura,2014,19141.38
Extremadura,2015,19560.983333333334
Extremadura,2016,19463.41
Extremadura,2017,19659.95666666667
Extremadura,2018,19905.0
Extremadura,2019,19925.663333333334
Extremadura,2020,20447.376666666667
Extremadura,2021,21340.186666666665
Extremadura,2022,21910.263333333332
Extremadura,2023,23681.963333333333
Galicia,2008,18969.476666666666
Galicia,2009,19659.593333333334
Galicia,2010,20186.436666666665
Galicia,2011,19881.366666666665
Galicia,2012,19392.013333333332
Galicia,2013,19868.47333333333
Galicia,2014,20165.99
Galicia,2015,20635.856666666663
Galicia,2016,21050.266666666666
Galicia,2017,21587.016666666666
Galicia,2018,22204.89
Galicia,2019,22179.49666666667
Galicia,2020,22852.45
Galicia,2021,23334.806666666667
Galicia,2022,24236.440000000002
Galicia,2023,25304.26
"Madrid, Comunidad de",2008,25095.26
"Madrid, Comunidad de",2009,25747.320000000003
"Madrid, Comunidad de",2010,25908.8
"Madrid, Comunidad de",2011,25775.75
"Madrid, Comunidad de",2012,26000.58
"Madrid, Comunidad de",2013,26132.98
"Madrid, Comunidad de",2014,26543.839999999997
"Madrid, Comunidad de",2015,26410.73
"Madrid, Comunidad de",2016,26270.89
"Madrid, Comunidad de",2017,27009.62
"Madrid, Comunidad de",2018,26917.753333333338
"Madrid, Comunidad de",2019,27740.813333333335
"Madrid, Comunidad de",2020,28741.553333333333
"Madrid, Comunidad de",2021,29434.843333333334
"Madrid, Comunidad de",2022,31155.86666666667
"Madrid, Comunidad de",2023,32174.00333333333
"Murcia, Región de",2008,18702.293333333335
"Murcia, Región de",2009,20147.99
"Murcia, Región de",2010,20728.04333333333
"Murcia, Región de",2011,20863.85666666667
"Murcia, Región de",2012,20542.186666666665
"Murcia, Región de",2013,20278.45
"Murcia, Región de",2014,20545.696666666667
"Murcia, Región de",2015,20747.446666666667
"Murcia, Región de",2016,21074.513333333332
"Murcia, Región de",2017,21122.27
"Murcia, Región de",2018,21259.823333333334
"Murcia, Región de",2019,21948.216666666664
"Murcia, Región de",2020,22718.006666666664
"Murcia, Región de",2021,23048.626666666667
"Murcia, Región de",2022,23682.906666666666
"Murcia, Región de",2023,25201.27666666667
"Navarra, Comunidad Foral de",2008,23063.75
"Navarra, Comunidad Foral de",2009,23300.343333333334
"Navarra, Comunidad Foral de",2010,23578.173333333336
"Navarra, Comunidad Foral de",2011,24065.546666666665
"Navarra, Comunidad Foral de",2012,23626.436666666665
"Navarra, Comunidad Foral de",2013,23683.170000000002
"Navarra, Comunidad Foral de",2014,24507.873333333333
"Navarra, Comunidad Foral de",2015,24718.14333333333
"Navarra, Comunidad Foral de",2016,25171.123333333333
"Navarra, Comunidad Foral de",2017,25975.819999999996
"Navarra, Comunidad Foral de",2018,26202.819999999996
"Navarra, Comunidad Foral de",2019,27262.55
"Navarra, Comunidad Foral de",2020,27787.0
"Navarra, Comunidad Foral de",2021,28303.91
"Navarra, Comunidad Foral de",2022,29060.89
"Navarra, Comunidad Foral de",2023,31094.899999999998
País Vasco,2008,25192.399999999998
País Vasco,2009,25851.61333333333
País Vasco,2010,26336.153333333332
País Vasco,2011,26104.203333333335
País Vasco,2012,26311.303333333333
País Vasco,2013,26638.336666666666
País Vasco,2014,27613.039999999997
País Vasco,2015,27399.12
País Vasco,2016,27303.36666666667
País Vasco,2017,27996.47666666667
País Vasco,2018,28399.47333333333
País Vasco,2019,29401.0
País Vasco,2020,30130.053333333333
País Vasco,2021,30951.39333333333
País Vasco,2022,32241.36333333333
País Vasco,2023,33381.40333333333
"Rioja, La",2008,20529.346666666668
"Rioja, La",2009,21040.716666666667
"Rioja, La",2010,20936.116666666665
"Rioja, La",2011,20945.75333333333
"Rioja, La",2012,20309.993333333336
"Rioja, La",2013,20568.49666666667
"Rioja, La",2014,21909.399999999998
"Rioja, La",2015,21683.86
"Rioja, La",2016,21899.86333333333
"Rioja, La",2017,22136.083333333332
"Rioja, La",2018,22668.456666666665
"Rioja, La",2019,22865.783333333336
"Rioja, La",2020,23305.649999999998
"Rioja, La",2021,23780.236666666668
"Rioja, La",2022,24969.789999999997
"Rioja, La",2023,26369.47
Total Nacional,2008,21665.789999999997
Total Nacional,2009,22338.180000000004
Total Nacional,2010,22668.38666666667
Total Nacional,2011,22778.27666666667
Total Nacional,2012,22648.60666666667
Total Nacional,2013,22629.203333333335
Total Nacional,2014,22776.743333333332
Total Nacional,2015,23050.213333333333
Total Nacional,2016,23070.726666666666
Total Nacional,2017,23548.73
Total Nacional,2018,23919.733333333334
Total Nacional,2019,24337.460000000003
Total Nacional,2020,25091.836666666666
Total Nacional,2021,25820.486666666664
Total Nacional,2022,26896.843333333334
Total Nacional,2023,28004.58
