comunidad,anio,salario_medio,tasa_paro_media
Andalucía,2008,19848.486666666668,17.7025
Aragón,2008,21236.763333333332,7.285
"Asturias, Principado de",2008,21521.343333333334,8.5
"Balears, Illes",2008,20267.2,10.1875
Canarias,2008,18371.923333333336,17.235
Cantabria,2008,20125.846666666668,7.16
Castilla - La Mancha,2008,19480.42,11.6625
Castilla y León,2008,19969.683333333334,9.6125
Cataluña,2008,23219.303333333333,8.885
Comunitat Valenciana,2008,19587.483333333334,11.9775
Extremadura,2008,18092.903333333335,15.35
Galicia,2008,18969.476666666666,8.635000000000002
"Madrid, Comunidad de",2008,25095.26,8.6
"Murcia, Región de",2008,18702.293333333335,12.430000000000001
"Navarra, Comunidad Foral de",2008,23063.75,6.83
País Vasco,2008,25192.399999999998,6.6225000000000005
"Rioja, La",2008,20529.346666666668,7.8925
Andalucía,2009,20728.806666666667,25.245
Aragón,2009,21927.8,13.0525
"Asturias, Principado de",2009,22354.48,13.42
"Balears, Illes",2009,21019.596666666668,17.97
Canarias,2009,18854.643333333337,26.0
Cantabria,2009,20671.170000000002,12.0
Castilla - La Mancha,2009,19973.106666666667,18.872500000000002
Castilla y León,2009,20801.156666666666,13.975
Cataluña,2009,23739.916666666668,16.2175
Comunitat Valenciana,2009,20289.383333333335,20.7625
Extremadura,2009,18952.45,20.63
Galicia,2009,19659.593333333334,12.4375
"Madrid, Comunidad de",2009,25747.320000000003,13.855
"Murcia, Región de",2009,20147.99,20.3275
"Navarra, Comunidad Foral de",2009,23300.343333333334,10.8325
País Vasco,2009,25851.61333333333,11.3375
"Rioja, La",2009,21040.716666666667,12.6475
Andalucía,2010,20783.216666666667,27.7725
Aragón,2010,22141.076666666664,14.955
"Asturias, Principado de",2010,22066.103333333333,15.915000000000001
"Balears, Illes",2010,21546.27666666667,20.18
Canarias,2010,19301.43,28.6
Cantabria,2010,20989.63,13.7
Castilla - La Mancha,2010,20189.616666666665,21.2225
Castilla y León,2010,20761.806666666667,15.7975
Cataluña,2010,24364.11666666667,17.6575
Comunitat Valenciana,2010,20605.18,22.8575
Extremadura,2010,19381.476666666666,22.970000000000002
Galicia,2010,20186.436666666665,15.325000000000001
"Madrid, Comunidad de",2010,25908.8,15.8425
"Murcia, Región de",2010,20728.04333333333,22.8625
"Navarra, Comunidad Foral de",2010,23578.173333333336,11.9025
País Vasco,2010,26336.153333333332,10.690000000000001
"Rioja, La",2010,20936.116666666665,14.145
Andalucía,2011,21185.13666666667,30.130000000000003
Aragón,2011,22141.196666666667,17.0775
"Asturias, Principado de",2011,22118.153333333332,17.84
"Balears, Illes",2011,21305.73,21.9475
Canarias,2011,19477.586666666666,29.28
Cantabria,2011,20777.38666666667,15.3
Castilla - La Mancha,2011,20479.47333333333,23.075
Castilla y León,2011,20901.953333333335,16.867500000000003
Cataluña,2011,24441.623333333333,19.16
Comunitat Valenciana,2011,21180.233333333334,23.985000000000003
Extremadura,2011,19752.86,25.080000000000002
Galicia,2011,19881.366666666665,17.259999999999998
"Madrid, Comunidad de",2011,25775.75,16.3375
"Murcia, Región de",2011,20863.85666666667,24.985
"Navarra, Comunidad Foral de",2011,24065.546666666665,12.9875
País Vasco,2011,26104.203333333335,12.3475
"Rioja, La",2011,20945.75333333333,17.2075
Andalucía,2012,20770.716666666667,34.3525
Aragón,2012,21970.78,18.665
"Asturias, Principado de",2012,21608.496666666666,21.822499999999998
"Balears, Illes",2012,20947.27,23.2575
Canarias,2012,19288.726666666666,32.575
Cantabria,2012,20091.133333333335,17.7925
Castilla - La Mancha,2012,20291.37,28.585
Castilla y León,2012,20531.676666666666,19.8
Cataluña,2012,24401.286666666667,22.515
Comunitat Valenciana,2012,21127.943333333333,27.19
Extremadura,2012,19569.516666666666,33.075
Galicia,2012,19392.013333333332,20.5325
"Madrid, Comunidad de",2012,26000.58,18.53
"Murcia, Región de",2012,20542.186666666665,27.615000000000002
"Navarra, Comunidad Foral de",2012,23626.436666666665,16.1625
País Vasco,2012,26311.303333333333,15.5975
"Rioja, La",2012,20309.993333333336,20.567500000000003
Andalucía,2013,20679.193333333333,36.2225
Aragón,2013,21961.789999999997,21.3825
"Asturias, Principado de",2013,21983.456666666665,24.1275
"Balears, Illes",2013,20786.48,22.335
Canarias,2013,19155.406666666666,33.73
Cantabria,2013,19939.686666666665,20.447499999999998
Castilla - La Mancha,2013,20475.893333333333,29.967499999999998
Castilla y León,2013,20416.323333333334,21.7475
Cataluña,2013,24226.193333333333,23.12
Comunitat Valenciana,2013,20815.926666666666,28.05
Extremadura,2013,19071.72333333333,33.86749999999999
Galicia,2013,19868.47333333333,22.0425
"Madrid, Comunidad de",2013,26132.98,19.7625
"Murcia, Región de",2013,20278.45,28.979999999999997
"Navarra, Comunidad Foral de",2013,23683.170000000002,17.93
País Vasco,2013,26638.336666666666,16.572499999999998
"Rioja, La",2013,20568.49666666667,20.035
Andalucía,2014,20652.583333333332,34.78
Aragón,2014,21993.01,20.1725
"Asturias, Principado de",2014,21922.66,21.1275
"Balears, Illes",2014,21367.006666666668,20.14
Canarias,2014,19426.483333333334,32.417500000000004
Cantabria,2014,21184.53,19.4175
Castilla - La Mancha,2014,20507.083333333332,28.994999999999997
Castilla y León,2014,20370.836666666666,20.765
Cataluña,2014,23899.92,20.325000000000003
Comunitat Valenciana,2014,20543.649999999998,25.8125
Extremadura,2014,19141.38,29.7925
Galicia,2014,20165.99,21.6525
"Madrid, Comunidad de",2014,26543.839999999997,18.747500000000002
"Murcia, Región de",2014,20545.696666666667,26.585
"Navarra, Comunidad Foral de",2014,24507.873333333333,15.71
País Vasco,2014,27613.039999999997,16.325
"Rioja, La",2014,21909.399999999998,18.16
Andalucía,2015,21307.396666666667,31.54
Aragón,2015,22277.63666666667,16.29
"Asturias, Principado de",2015,22755.36,19.11
"Balears, Illes",2015,21441.35,17.409999999999997
Canarias,2015,19824.36333333333,29.105
Cantabria,2015,21690.81,17.6475
Castilla - La Mancha,2015,20511.22,26.345
Castilla y León,2015,21318.493333333332,18.259999999999998
Cataluña,2015,24260.73,18.5925
Comunitat Valenciana,2015,20888.643333333333,22.78
Extremadura,2015,19560.983333333334,29.095
Galicia,2015,20635.856666666663,19.307499999999997
"Madrid, Comunidad de",2015,26410.73,17.057499999999997
"Murcia, Región de",2015,20747.446666666667,24.615
"Navarra, Comunidad Foral de",2015,24718.14333333333,13.8275
País Vasco,2015,27399.12,14.764999999999999
"Rioja, La",2015,21683.86,15.3825
Andalucía,2016,21157.533333333333,28.885
Aragón,2016,22113.960000000003,14.74
"Asturias, Principado de",2016,23061.539999999997,17.6075
"Balears, Illes",2016,21489.263333333332,13.9575
Canarias,2016,19703.303333333333,26.06
Cantabria,2016,21829.97,14.9075
Castilla - La Mancha,2016,20636.996666666666,23.547500000000003
Castilla y León,2016,21553.213333333333,15.825
Cataluña,2016,24379.246666666662,15.7125
Comunitat Valenciana,2016,21063.503333333334,20.615000000000002
Extremadura,2016,19463.41,27.515
Galicia,2016,21050.266666666666,17.154999999999998
"Madrid, Comunidad de",2016,26270.89,15.712499999999999
"Murcia, Región de",2016,21074.513333333332,19.7825
"Navarra, Comunidad Foral de",2016,25171.123333333333,12.485
País Vasco,2016,27303.36666666667,12.592500000000001
"Rioja, La",2016,21899.86333333333,13.535
Andalucía,2017,21289.03,25.505
Aragón,2017,22865.206666666665,11.645
"Asturias, Principado de",2017,23628.38333333333,13.712499999999999
"Balears, Illes",2017,22013.49,12.5275
Canarias,2017,20131.573333333334,23.472499999999997
Cantabria,2017,22217.513333333336,13.565
Castilla - La Mancha,2017,20840.553333333333,20.765
Castilla y León,2017,21808.87,14.0775
Cataluña,2017,25101.743333333336,13.412500000000001
Comunitat Valenciana,2017,21251.313333333335,18.177500000000002
Extremadura,2017,19659.95666666667,26.2175
Galicia,2017,21587.016666666666,15.6675
"Madrid, Comunidad de",2017,27009.62,13.342500000000001
"Murcia, Región de",2017,21122.27,18.0325
"Navarra, Comunidad Foral de",2017,25975.819999999996,10.2375
País Vasco,2017,27996.47666666667,11.305
"Rioja, La",2017,22136.083333333332,11.9925
Andalucía,2018,21730.24,22.985
Aragón,2018,23415.556666666667,10.632499999999999
"Asturias, Principado de",2018,23857.486666666664,13.607499999999998
"Balears, Illes",2018,22774.73,11.6775
Canarias,2018,20716.039999999997,20.0775
Cantabria,2018,22511.283333333336,10.675
Castilla - La Mancha,2018,21601.783333333333,18.165
Castilla y León,2018,21935.033333333336,12.105
Cataluña,2018,25494.323333333334,11.49
Comunitat Valenciana,2018,21964.61333333333,15.59
Extremadura,2018,19905.0,23.6425
Galicia,2018,22204.89,13.3375
"Madrid, Comunidad de",2018,26917.753333333338,12.219999999999999
"Murcia, Región de",2018,21259.823333333334,16.7625
"Navarra, Comunidad Foral de",2018,26202.819999999996,10.0275
País Vasco,2018,28399.47333333333,9.969999999999999
"Rioja, La",2018,22668.456666666665,10.4025
Andalucía,2019,21993.39333333333,21.1875
Aragón,2019,23443.35666666667,10.024999999999999
"Asturias, Principado de",2019,24882.073333333334,14.1925
"Balears, Illes",2019,23290.303333333333,11.82
Canarias,2019,20828.216666666664,20.5
Cantabria,2019,23247.703333333335,10.280000000000001
Castilla - La Mancha,2019,21780.89,16.205
Castilla y León,2019,22047.11333333333,11.64
Cataluña,2019,25973.933333333334,11.0325
Comunitat Valenciana,2019,21953.256666666668,14.1125
Extremadura,2019,19925.663333333334,21.535
Galicia,2019,22179.49666666667,11.7575
"Madrid, Comunidad de",2019,27740.813333333335,10.622499999999999
"Murcia, Región de",2019,21948.216666666664,14.679999999999998
"Navarra, Comunidad Foral de",2019,27262.55,8.2425
País Vasco,2019,29401.0,9.15
"Rioja, La",2019,22865.783333333336,9.96
Andalucía,2020,22209.063333333335,22.2675
Aragón,2020,23994.793333333335,11.7025
"Asturias, Principado de",2020,24594.686666666665,14.12
"Balears, Illes",2020,23859.726666666666,16.1875
Canarias,2020,21596.77,22.65
Cantabria,2020,23432.02666666667,12.165
Castilla - La Mancha,2020,22455.289999999997,17.67
Castilla y León,2020,22937.899999999998,12.0675
Cataluña,2020,27066.806666666667,12.635000000000002
Comunitat Valenciana,2020,22753.823333333334,16.19
Extremadura,2020,20447.376666666667,21.795
Galicia,2020,22852.45,12.014999999999999
"Madrid, Comunidad de",2020,28741.553333333333,12.4975
"Murcia, Región de",2020,22718.006666666664,16.17
"Navarra, Comunidad Foral de",2020,27787.0,10.055
País Vasco,2020,30130.053333333333,9.5375
"Rioja, La",2020,23305.649999999998,10.8
Andalucía,2021,23015.85666666667,21.86
Aragón,2021,24894.846666666668,10.337499999999999
"Asturias, Principado de",2021,25085.02333333333,12.335
"Balears, Illes",2021,24126.0,14.435
Canarias,2021,22421.52,23.5175
Cantabria,2021,24412.47,11.265
Castilla - La Mancha,2021,23095.486666666668,15.677500000000002
Castilla y León,2021,23541.070000000003,11.620000000000001
Cataluña,2021,28124.543333333335,11.697500000000002
Comunitat Valenciana,2021,23344.55,16.085
Extremadura,2021,21340.186666666665,20.189999999999998
Galicia,2021,23334.806666666667,11.545
"Madrid, Comunidad de",2021,29434.843333333334,11.687500000000002
"Murcia, Región de",2021,23048.626666666667,14.7225
"Navarra, Comunidad Foral de",2021,28303.91,10.712499999999999
País Vasco,2021,30951.39333333333,10.2975
"Rioja, La",2021,23780.236666666668,11.605
Andalucía,2022,24004.433333333334,19.115000000000002
Aragón,2022,25980.463333333333,9.620000000000001
"Asturias, Principado de",2022,26704.03,12.5125
"Balears, Illes",2022,27118.660000000003,10.735
Canarias,2022,23086.86666666667,17.64
Cantabria,2022,25225.36,9.575
Castilla - La Mancha,2022,23625.86333333333,14.6375
Castilla y León,2022,24169.413333333334,9.93
Cataluña,2022,28770.666666666668,9.9725
Comunitat Valenciana,2022,24443.179999999997,13.290000000000001
Extremadura,2022,21910.263333333332,17.3275
Galicia,2022,24236.440000000002,11.04
"Madrid, Comunidad de",2022,31155.86666666667,11.215
"Murcia, Región de",2022,23682.906666666666,13.585
"Navarra, Comunidad Foral de",2022,29060.89,9.735
País Vasco,2022,32241.36333333333,8.8825
"Rioja, La",2022,24969.789999999997,9.549999999999999
Andalucía,2023,24950.653333333332,18.24
Aragón,2023,26779.016666666666,8.575
"Asturias, Principado de",2023,27919.646666666667,12.1225
"Balears, Illes",2023,27517.36666666667,10.48
Canarias,2023,24025.690000000002,16.075
Cantabria,2023,26480.45,8.1425
Castilla - La Mancha,2023,24753.35666666667,13.215
Castilla y León,2023,25230.60666666667,9.682500000000001
Cataluña,2023,29980.399999999998,9.344999999999999
Comunitat Valenciana,2023,25590.47,12.8025
Extremadura,2023,23681.963333333333,17.3675
Galicia,2023,25304.26,9.7175
"Madrid, Comunidad de",2023,32174.00333333333,9.955
"Murcia, Región de",2023,25201.27666666667,12.775
"Navarra, Comunidad Foral de",2023,31094.899999999998,9.945
País Vasco,2023,33381.40333333333,7.734999999999999
"Rioja, La",2023,26369.47,9.375
